type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,active,pqc,vvpq,2023-11-01t17:10:00.000,sgn,vvts,1,2023-11-01t18:10:00.000,,h1,h1,4404,h14404,h14404,vietjet air,vj,vjc,328,vj328,vjc328,2023-11-01t17:10:00.000,4.0,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:54:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:10:00.000,sgn,vvts,1,2023-11-01t18:10:00.000,vietjet air,vj,vjc,328,vj328,vjc328,,,,,,,2023-11-01t17:10:00.000,4.0,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:13:00.000,2023-11-01t17:54:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:15:00.000,icn,rksi,1,2023-11-02t00:30:00.000,,a1,a1,2978,a12978,a12978,vietjet air,vj,vjc,978,vj978,vjc978,,7.0,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-02t00:23:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:15:00.000,icn,rksi,1,2023-11-02t00:30:00.000,flexflight,w2,fxt,4978,w24978,fxt4978,vietjet air,vj,vjc,978,vj978,vjc978,,7.0,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-02t00:23:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:15:00.000,icn,rksi,1,2023-11-02t00:30:00.000,,h1,h1,4185,h14185,h14185,vietjet air,vj,vjc,978,vj978,vjc978,,7.0,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-02t00:23:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:15:00.000,icn,rksi,1,2023-11-02t00:30:00.000,vietjet air,vj,vjc,978,vj978,vjc978,,,,,,,,7.0,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-01t17:21:00.000,2023-11-02t00:23:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t17:25:00.000,sgn,vvts,1,2023-11-01t18:40:00.000,vietnam airlines,vn,hvn,1828,vn1828,hvn1828,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t18:15:00.000,han,vvnb,t1,2023-11-01t21:30:00.000,bamboo airways,qh,bav,1626,qh1626,bav1626,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t18:50:00.000,sgn,vvts,,2023-11-01t19:55:00.000,vietravel airlines,vu,vag,302,vu302,vag302,,,,,,,2023-11-01t18:50:00.000,6.0,2023-11-01t18:55:00.000,2023-11-01t18:55:00.000,2023-11-01t18:55:00.000,2023-11-01t19:33:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t19:05:00.000,sgn,vvts,1,2023-11-01t21:45:00.000,vietnam airlines,vn,hvn,1834,vn1834,hvn1834,,,,,,,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t19:20:00.000,han,vvnb,1,2023-11-01t21:30:00.000,bamboo airways,qh,bav,1626,qh1626,bav1626,,,,,,,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t19:25:00.000,sgn,vvts,1,2023-11-01t20:30:00.000,vietnam airlines,vn,hvn,6520,vn6520,hvn6520,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t19:30:00.000,hph,vvci,,2023-11-01t21:35:00.000,,a1,a1,2768,a12768,a12768,vietjet air,vj,vjc,768,vj768,vjc768,,7.0,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t21:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t19:30:00.000,hph,vvci,,2023-11-01t21:35:00.000,flexflight,w2,fxt,4768,w24768,fxt4768,vietjet air,vj,vjc,768,vj768,vjc768,,7.0,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t19:36:00.000,2023-11-01t21:21:00.000,,,,,,,,,
